COUNTY,MOMBASA,,,
,Age,Male,Female,Total
VIHIGA,70,120,124,244
VIHIGA,71,60,64,124
VIHIGA,72,88,79,167
VIHIGA,73,60,85,145
VIHIGA,74,67,60,127
VIHIGA,70-74,395,412,807
VIHIGA,75,39,66,105
VIHIGA,76,45,77,122
VIHIGA,77,38,56,94
VIHIGA,78,24,23,47
VIHIGA,79,59,53,112
VIHIGA,75-79,205,275,480
VIHIGA,80,41,55,96
VIHIGA,81,21,32,53
VIHIGA,82,25,40,65
VIHIGA,83,29,38,67
VIHIGA,84,19,32,51
VIHIGA,80-84,135,197,332
VIHIGA,85,22,33,55
VIHIGA,86,18,22,40
VIHIGA,87,19,25,44
VIHIGA,88,7,19,26
VIHIGA,89,15,29,44
VIHIGA,85-89,81,128,209
VIHIGA,90,3,16,19
VIHIGA,91,10,11,21
VIHIGA,92,6,15,21
VIHIGA,93,6,8,14
VIHIGA,94,4,7,11
VIHIGA,90-94,29,57,86
VIHIGA,95,3,14,17
VIHIGA,96,-,5,5
VIHIGA,97,4,7,11
VIHIGA,98,-,1,1
VIHIGA,99,2,2,4
VIHIGA,95-99,9,29,38
VIHIGA,100+,5,10,15
VIHIGA,Not Stated,2,-,2
