Age,Male,Female,Total
KWALE,,,
Not Stated,5,12,17
KISII,,,
Total,"531,860","583,560","1,115,420"
0,"11,522","11,642","23,164"
1,"11,809","11,607","23,416"
2,"12,204","12,158","24,362"
3,"13,312","13,504","26,816"
4,"14,058","13,984","28,042"
0 - 4,"62,905","62,895","125,800"
5,"14,197","14,245","28,442"
6,"15,309","15,421","30,730"
7,"15,978","15,594","31,572"
8,"15,188","15,288","30,476"
9,"17,168","16,964","34,132"
5-9,"77,840","77,512","155,352"
10,"18,950","18,542","37,492"
11,"16,120","16,773","32,893"
12,"19,684","18,450","38,134"
13,"18,283","18,334","36,617"
14,"16,611","16,319","32,930"
10-14,"89,648","88,418","178,066"
15,"15,888","15,767","31,655"
16,"14,318","14,097","28,415"
17,"14,464","13,907","28,371"
18,"11,605","11,229","22,834"
19,"11,755","11,776","23,531"
15-19,"68,030","66,776","134,806"
20,"9,458","10,778","20,236"
21,"7,444","9,047","16,491"
22,"7,172","8,773","15,945"
23,"6,993","9,293","16,286"
24,"6,310","8,480","14,790"
20-24,"37,377","46,371","83,748"
25,"7,664","10,396","18,060"
26,"6,137","8,391","14,528"
27,"6,563","8,661","15,224"
28,"5,160","6,969","12,129"
29,"5,470","7,730","13,200"
25-29,"30,994","42,147","73,141"
30,"7,553","11,217","18,770"
31,"6,122","8,713","14,835"
32,"7,136","10,233","17,369"
33,"5,989","9,166","15,155"
34,"5,228","7,548","12,776"
30-34,"32,028","46,877","78,905"
35,"7,082","8,301","15,383"
36,"4,746","4,647","9,393"
37,"5,078","4,826","9,904"
38,"3,589","3,595","7,184"
39,"4,529","4,760","9,289"
35-39,"25,024","26,129","51,153"
40,"5,444","5,647","11,091"
41,"5,936","5,560","11,496"
42,"4,394","4,365","8,759"
43,"4,208","4,489","8,697"
44,"3,025","3,604","6,629"
40-44,"23,007","23,665","46,672"
45,"5,661","6,706","12,367"
46,"3,757","5,023","8,780"
47,"4,132","5,617","9,749"
48,"2,371","2,881","5,252"
49,"2,836","3,899","6,735"
45-49,"18,757","24,126","42,883"
50,"3,681","4,407","8,088"
